Number,Group Name,Links,members
1,Teka somba na prix ya Bien,https://mobile.facebook.com/groups/4458091350904337/?ref=group_browse,25817
2,????Teka Somba???na???Prix ya bien!????,https://mobile.facebook.com/groups/434661027871196/?ref=group_browse,33836
3,???Teka-Somba 24/24???,https://mobile.facebook.com/groups/2932215260333602/?ref=group_browse,73903
4,VENTE TOUT ?€ KINSHASA,https://mobile.facebook.com/groups/2267421523507404/?ref=group_browse,0
5,KIN VENTE/ACHAT,https://mobile.facebook.com/groups/2025771334359815/?ref=group_browse,59758
6,ZANDO ya KINSHASA,https://mobile.facebook.com/groups/2417749508533529/?ref=group_browse,18753
7,Teka-Kakola-Somba 2??me bord (Kinshasa),https://mobile.facebook.com/groups/2232354350372325/?ref=group_browse,5657
8,Teka - Kakola - Somba (kinshasa),https://mobile.facebook.com/groups/1712424082372481/?ref=group_browse,164547
9,Le bon coin pour les congolais,https://mobile.facebook.com/groups/1549030312003177/?ref=group_browse,40512
10,BILOKOS ???? %??????????????????????????????,https://mobile.facebook.com/groups/1050735792104175/?ref=group_browse,1948
11,VENTE ET ACHAT RDCongo,https://mobile.facebook.com/groups/352120431828349/?ref=group_browse,9401
12,????Teka-Somba???En ligne!????,https://mobile.facebook.com/groups/283780253092282/?ref=group_browse,240349
13,Congo Speed! VENDEZ ET TROQUER,https://mobile.facebook.com/groups/114975699094438/?ref=group_browse,13926
14,VENTE EN LIGNE,https://mobile.facebook.com/groups/261658928421492/?ref=group_browse,9617
15,Teka somba en ligne,https://mobile.facebook.com/groups/3323854697841336/?ref=group_browse,47243
16,SOMBA TEKA MOKILI MOBIMBA,https://mobile.facebook.com/groups/3073972669330453/?ref=group_browse,135056
17,TEKA SOMBA NA PRIX YA Bien,https://mobile.facebook.com/groups/2396795340453227/?ref=group_browse,40412
18,"Ekiti talo (solde, vente, achat, troc, promotion, publicit??,... )",https://mobile.facebook.com/groups/1856072608051143/?ref=group_browse,69638
19,"VENTE EN LIGNE, EN RDC ET AILLEURS",https://mobile.facebook.com/groups/1606567199558157/?ref=group_browse,40505
20,"BONNES AFFAIRES, TEKA, SOMBA NA KINSHASA",https://mobile.facebook.com/groups/575029336040752/?ref=group_browse,0
21,"TEKA, SOMBA TSHOMBO NA FAUX PRIX",https://mobile.facebook.com/groups/557339772259465/?ref=group_browse,32510
22,Teka pe Somba Nionso,https://mobile.facebook.com/groups/494938151630057/?ref=group_browse,2176
23,RDC BUSINESS VENTE ET ACHAT EN LIGNE,https://mobile.facebook.com/groups/485595848653433/?ref=group_browse,15552
24,TEKA SOMBA NA KINSHASA FB,https://mobile.facebook.com/groups/427336388401184/?ref=group_browse,6553
25,Kinshasa Buy And Sell,https://mobile.facebook.com/groups/377436819112288/?ref=group_browse,150079
26,Teka somba???????? achat et vente,https://mobile.facebook.com/groups/296525075547264/?ref=group_browse,9556
27,Acheter & Vendre des Biens et services en RDCongo,https://mobile.facebook.com/groups/193427604794787/?ref=group_browse,26920
28,Vente et Achat facile,https://mobile.facebook.com/groups/174021326556602/?ref=group_browse,14553
29,ZandoNet (vente et achat de tout type de produit l??gal),https://mobile.facebook.com/groups/157070304903101/?ref=group_browse,34442
30,Bilokos (Achat/Vente/Troc/Offres. Je deal - Tu deal - On deal),https://mobile.facebook.com/groups/123383601176136/?ref=group_browse,87266
31,Teka somba na prix ya bien,https://mobile.facebook.com/groups/2777314399147797/?ref=group_browse,129382
32,Kinshasa Expats Business Center,https://mobile.facebook.com/groups/1994886254131045/?ref=group_browse,41306
33,Teka'ngo Market,https://mobile.facebook.com/groups/480658072822702/?ref=group_browse,9789
34,TEKA SOMBA NA PRIX YA BIEN,https://mobile.facebook.com/groups/304222654430887/?ref=group_browse,10875
35,CHRISRHEMA MARKET.,https://mobile.facebook.com/groups/1659094737714974/?ref=group_browse,35909
36,TOUT TEKA NGO ( commerce en ligne),https://mobile.facebook.com/groups/178202949050334/?ref=group_browse,35948
37,Global Kinshasa Market,https://mobile.facebook.com/groups/630353667861611/?ref=group_browse,28472
,,,
,,,1702166
